,AI,사람,만들,개발,인간,gpt,무료,생각,학습,데이터,개발자,문제,사용,해석,인공지능,모르,기술,발전,가능,뉴스,수준,정도,구글,필요,나오,대체,유튜브,영상,방법,기업,한국인,세상,코드,소리,음성,때문,이용,코딩,내용,로봇,댓글,인류,저작,여기,우리,암호,대화,시대,만드,기계
코드,29,13,8,5,6,7,0,2,4,1,15,7,1,1,5,15,3,2,7,2,6,3,2,1,2,2,0,4,4,0,0,1,34,1,0,0,0,9,3,1,0,0,0,2,0,0,0,0,0,0
소리,28,8,4,2,1,1,1,2,6,10,0,10,2,14,1,5,1,0,3,0,2,3,3,6,0,0,7,1,23,0,2,0,1,12,2,0,0,1,0,0,0,0,8,16,1,9,0,0,2,0
음성,2,3,0,1,0,6,23,5,0,6,0,0,8,0,0,1,1,0,5,6,1,1,1,0,0,0,2,6,0,0,0,0,0,2,26,0,1,0,3,0,0,1,0,1,1,0,31,0,0,1
때문,21,10,8,6,19,4,6,13,8,12,4,5,7,3,9,2,4,4,5,0,6,4,2,3,0,4,2,2,0,8,2,0,0,0,0,2,2,1,4,1,3,2,3,2,2,2,0,1,2,0
이용,48,13,6,12,10,6,3,10,16,8,0,13,5,0,2,1,10,3,6,1,3,1,13,4,1,3,15,7,1,1,1,2,0,0,1,2,14,0,3,1,0,0,2,1,1,1,0,2,1,0
코딩,54,15,5,8,14,8,0,1,5,5,14,7,1,0,2,10,4,6,4,1,6,5,1,0,3,5,0,2,0,0,0,2,9,1,0,1,0,26,1,0,1,0,0,1,0,0,2,0,2,0
내용,11,1,2,10,10,13,6,2,6,5,2,5,9,4,6,3,4,0,0,11,4,2,13,0,7,1,5,3,0,0,0,0,3,0,3,4,3,1,20,1,13,0,3,2,2,0,3,0,0,1
로봇,36,9,20,6,18,0,0,2,2,3,0,7,0,0,5,0,2,7,1,0,0,1,1,0,2,16,0,0,1,0,0,2,1,0,0,1,1,0,1,30,0,2,0,0,1,0,0,2,2,9
댓글,12,10,0,6,16,0,0,2,6,1,12,4,2,1,7,4,0,0,0,5,10,4,1,2,4,2,0,7,0,0,0,2,0,0,0,3,0,1,13,0,16,0,3,2,4,0,3,2,1,0
인류,21,4,2,4,6,1,2,6,2,2,0,1,1,0,2,3,4,7,0,1,2,2,1,0,0,1,2,0,1,2,1,1,0,0,1,2,0,0,0,2,0,6,0,0,0,0,3,2,0,2
저작,38,5,8,0,4,1,1,4,16,16,0,34,17,0,5,5,0,5,2,6,0,1,7,2,1,0,11,6,0,1,0,0,0,8,0,3,2,0,3,0,3,0,32,0,0,0,0,0,2,0
여기,3,6,2,0,1,9,0,12,2,0,0,2,2,43,0,0,0,0,0,0,2,1,1,9,4,1,0,0,44,0,5,0,2,16,1,2,1,1,2,0,2,0,0,42,5,15,0,0,0,0
우리,13,13,0,1,6,2,5,12,0,3,0,2,4,3,0,2,1,1,0,2,4,0,1,0,0,1,2,1,10,4,1,1,0,1,1,2,1,0,2,1,4,0,0,5,6,0,0,2,0,9
암호,7,1,5,0,0,0,0,0,2,0,0,0,0,18,0,0,0,0,1,0,0,2,0,3,1,0,0,1,23,0,3,0,0,9,0,2,1,0,0,0,0,0,0,15,0,18,0,1,0,0
대화,12,10,0,0,2,4,7,7,2,0,4,1,7,0,6,4,3,0,7,4,7,3,0,2,2,1,3,9,0,0,0,2,0,0,31,0,0,2,3,0,3,3,0,0,0,0,30,1,1,0
시대,19,8,1,1,10,0,0,1,0,1,4,0,1,0,3,2,0,4,1,2,1,1,0,5,4,8,0,1,0,0,0,1,0,0,0,1,2,0,0,2,2,2,0,0,2,1,1,12,0,10
만드,24,6,16,5,8,3,2,5,1,2,5,10,8,0,7,4,6,3,4,1,8,3,1,3,1,2,2,1,0,3,0,9,0,2,0,2,1,2,0,2,1,0,2,0,0,0,1,0,4,6
기계,34,33,13,7,51,1,1,9,3,3,1,2,4,0,0,0,0,2,0,0,0,1,0,2,0,7,9,1,1,0,1,3,0,0,1,0,0,0,1,9,0,2,0,0,9,0,0,10,6,86
